Contrast,Distractor_level,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges
Distractor_level,-,0.16,0.36,True,True,-0.5573,16.0,two-sided,0.585,1.0,bonf,0.286,-0.2121
Distractor_level,-,0.16,0.75,True,True,-1.6729,16.0,two-sided,0.1138,1.0,bonf,0.791,-0.5192
Distractor_level,-,0.16,1.5,True,True,-3.6941,16.0,two-sided,0.002,0.0885,bonf,21.148,-1.1365
Distractor_level,-,0.16,3.0,True,True,-2.4574,16.0,two-sided,0.0258,1.0,bonf,2.483,-0.6893
Distractor_level,-,0.16,6.0,True,True,-2.0005,16.0,two-sided,0.0627,1.0,bonf,1.236,-0.4573
Distractor_level,-,0.16,12.0,True,True,-3.2802,16.0,two-sided,0.0047,0.212,bonf,10.073,-0.7601
Distractor_level,-,0.16,25.0,True,True,-4.6667,16.0,two-sided,0.0003,0.0116,bonf,123.085,-1.1249
Distractor_level,-,0.16,50.0,True,True,-5.5333,16.0,two-sided,0.0,0.002,bonf,571.586,-1.3596
Distractor_level,-,0.16,100.0,True,True,-4.5055,16.0,two-sided,0.0004,0.0162,bonf,92.034,-1.4265
Distractor_level,-,0.36,0.75,True,True,-1.0473,16.0,two-sided,0.3105,1.0,bonf,0.401,-0.262
Distractor_level,-,0.36,1.5,True,True,-2.6839,16.0,two-sided,0.0163,0.7335,bonf,3.598,-0.7334
Distractor_level,-,0.36,3.0,True,True,-1.4494,16.0,two-sided,0.1665,1.0,bonf,0.603,-0.4033
Distractor_level,-,0.36,6.0,True,True,-0.7865,16.0,two-sided,0.4431,1.0,bonf,0.327,-0.2277
Distractor_level,-,0.36,12.0,True,True,-1.4472,16.0,two-sided,0.1672,1.0,bonf,0.602,-0.4688
Distractor_level,-,0.36,25.0,True,True,-2.3975,16.0,two-sided,0.0291,1.0,bonf,2.257,-0.7508
Distractor_level,-,0.36,50.0,True,True,-2.2043,16.0,two-sided,0.0425,1.0,bonf,1.671,-0.9189
Distractor_level,-,0.36,100.0,True,True,-3.2342,16.0,two-sided,0.0052,0.2336,bonf,9.286,-0.8894
Distractor_level,-,0.75,1.5,True,True,-1.5584,16.0,two-sided,0.1387,1.0,bonf,0.686,-0.451
Distractor_level,-,0.75,3.0,True,True,-0.5964,16.0,two-sided,0.5592,1.0,bonf,0.292,-0.1398
Distractor_level,-,0.75,6.0,True,True,0.0769,16.0,two-sided,0.9397,1.0,bonf,0.25,0.0184
Distractor_level,-,0.75,12.0,True,True,-0.9697,16.0,two-sided,0.3466,1.0,bonf,0.375,-0.2094
Distractor_level,-,0.75,25.0,True,True,-1.5481,16.0,two-sided,0.1411,1.0,bonf,0.678,-0.4809
Distractor_level,-,0.75,50.0,True,True,-2.2807,16.0,two-sided,0.0366,1.0,bonf,1.879,-0.6411
Distractor_level,-,0.75,100.0,True,True,-1.808,16.0,two-sided,0.0894,1.0,bonf,0.945,-0.5816
Distractor_level,-,1.5,3.0,True,True,1.0,16.0,two-sided,0.3322,1.0,bonf,0.385,0.3027
Distractor_level,-,1.5,6.0,True,True,1.6547,16.0,two-sided,0.1175,1.0,bonf,0.773,0.4355
Distractor_level,-,1.5,12.0,True,True,0.811,16.0,two-sided,0.4293,1.0,bonf,0.332,0.2183
Distractor_level,-,1.5,25.0,True,True,-0.2259,16.0,two-sided,0.8241,1.0,bonf,0.255,-0.0582
Distractor_level,-,1.5,50.0,True,True,-0.6186,16.0,two-sided,0.5449,1.0,bonf,0.295,-0.222
Distractor_level,-,1.5,100.0,True,True,-0.3813,16.0,two-sided,0.708,1.0,bonf,0.266,-0.0964
Distractor_level,-,3.0,6.0,True,True,0.7427,16.0,two-sided,0.4684,1.0,bonf,0.317,0.1492
Distractor_level,-,3.0,12.0,True,True,-0.3517,16.0,two-sided,0.7296,1.0,bonf,0.263,-0.0724
Distractor_level,-,3.0,25.0,True,True,-1.6115,16.0,two-sided,0.1266,1.0,bonf,0.732,-0.3398
Distractor_level,-,3.0,50.0,True,True,-1.4703,16.0,two-sided,0.1609,1.0,bonf,0.618,-0.4969
Distractor_level,-,3.0,100.0,True,True,-1.3786,16.0,two-sided,0.187,1.0,bonf,0.557,-0.4202
Distractor_level,-,6.0,12.0,True,True,-1.0155,16.0,two-sided,0.325,1.0,bonf,0.39,-0.2143
Distractor_level,-,6.0,25.0,True,True,-2.1991,16.0,two-sided,0.0429,1.0,bonf,1.658,-0.4653
Distractor_level,-,6.0,50.0,True,True,-1.9529,16.0,two-sided,0.0685,1.0,bonf,1.155,-0.6105
Distractor_level,-,6.0,100.0,True,True,-1.6486,16.0,two-sided,0.1187,1.0,bonf,0.767,-0.5481
