Contrast,Distractor_level,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges
Distractor_level,-,0.16,0.36,True,True,-0.9927,16.0,two-sided,0.3356,1.0,bonf,0.382,-0.3534
Distractor_level,-,0.16,0.75,True,True,-0.7841,16.0,two-sided,0.4444,1.0,bonf,0.326,-0.2883
Distractor_level,-,0.16,1.5,True,True,-0.3077,16.0,two-sided,0.7623,1.0,bonf,0.26,-0.0868
Distractor_level,-,0.16,3.0,True,True,-1.7055,16.0,two-sided,0.1074,1.0,bonf,0.825,-0.6054
Distractor_level,-,0.16,6.0,True,True,-1.4675,16.0,two-sided,0.1616,1.0,bonf,0.616,-0.4601
Distractor_level,-,0.16,12.0,True,True,-1.7467,16.0,two-sided,0.0999,1.0,bonf,0.871,-0.5421
Distractor_level,-,0.16,25.0,True,True,-2.5681,16.0,two-sided,0.0206,0.9285,bonf,2.971,-0.8059
Distractor_level,-,0.16,50.0,True,True,-2.9576,16.0,two-sided,0.0093,0.4168,bonf,5.727,-1.0139
Distractor_level,-,0.16,100.0,True,True,-4.2647,16.0,two-sided,0.0006,0.0267,bonf,59.509,-1.4373
Distractor_level,-,0.36,0.75,True,True,-0.1852,16.0,two-sided,0.8554,1.0,bonf,0.253,-0.0538
Distractor_level,-,0.36,1.5,True,True,0.903,16.0,two-sided,0.3799,1.0,bonf,0.356,0.2682
Distractor_level,-,0.36,3.0,True,True,-1.2766,16.0,two-sided,0.22,1.0,bonf,0.499,-0.3931
Distractor_level,-,0.36,6.0,True,True,-0.7171,16.0,two-sided,0.4836,1.0,bonf,0.312,-0.2501
Distractor_level,-,0.36,12.0,True,True,-0.9593,16.0,two-sided,0.3517,1.0,bonf,0.372,-0.2367
Distractor_level,-,0.36,25.0,True,True,-1.5771,16.0,two-sided,0.1343,1.0,bonf,0.702,-0.5485
Distractor_level,-,0.36,50.0,True,True,-2.8853,16.0,two-sided,0.0108,0.4844,bonf,5.058,-0.8536
Distractor_level,-,0.36,100.0,True,True,-4.0038,16.0,two-sided,0.001,0.0461,bonf,37.058,-1.3422
Distractor_level,-,0.75,1.5,True,True,0.7497,16.0,two-sided,0.4643,1.0,bonf,0.319,0.2326
Distractor_level,-,0.75,3.0,True,True,-0.9552,16.0,two-sided,0.3537,1.0,bonf,0.371,-0.2894
Distractor_level,-,0.75,6.0,True,True,-0.5,16.0,two-sided,0.6239,1.0,bonf,0.278,-0.1697
Distractor_level,-,0.75,12.0,True,True,-0.3384,16.0,two-sided,0.7395,1.0,bonf,0.262,-0.1241
Distractor_level,-,0.75,25.0,True,True,-1.3497,16.0,two-sided,0.1959,1.0,bonf,0.539,-0.3902
Distractor_level,-,0.75,50.0,True,True,-3.0398,16.0,two-sided,0.0078,0.3512,bonf,6.603,-0.7357
Distractor_level,-,0.75,100.0,True,True,-4.787,16.0,two-sided,0.0002,0.0091,bonf,152.791,-1.2681
Distractor_level,-,1.5,3.0,True,True,-1.8226,16.0,two-sided,0.0871,1.0,bonf,0.964,-0.5555
Distractor_level,-,1.5,6.0,True,True,-1.2801,16.0,two-sided,0.2188,1.0,bonf,0.501,-0.4106
Distractor_level,-,1.5,12.0,True,True,-1.433,16.0,two-sided,0.1711,1.0,bonf,0.592,-0.4696
Distractor_level,-,1.5,25.0,True,True,-2.36,16.0,two-sided,0.0313,1.0,bonf,2.127,-0.7456
