Contrast,Distractor_level,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges
Distractor_level,-,0.16,0.36,True,True,-9.6385,16.0,two-sided,0.0,0.0,bonf,2.978e+05,-3.2231
Distractor_level,-,0.16,0.75,True,True,-7.7165,16.0,two-sided,0.0,0.0,bonf,1.989e+04,-2.7207
Distractor_level,-,0.16,1.5,True,True,-4.2014,16.0,two-sided,0.0007,0.0304,bonf,53.051,-1.6853
Distractor_level,-,0.16,3.0,True,True,-8.0706,16.0,two-sided,0.0,0.0,bonf,3.369e+04,-2.8253
Distractor_level,-,0.16,6.0,True,True,-3.886,16.0,two-sided,0.0013,0.059,bonf,29.929,-1.3233
Distractor_level,-,0.16,12.0,True,True,-3.0284,16.0,two-sided,0.008,0.3596,bonf,6.473,-0.7557
Distractor_level,-,0.16,25.0,True,True,1.1558,16.0,two-sided,0.2647,1.0,bonf,0.442,0.3729
Distractor_level,-,0.16,50.0,True,True,5.7589,16.0,two-sided,0.0,0.0013,bonf,843.942,1.0464
Distractor_level,-,0.16,100.0,True,True,1.9678,16.0,two-sided,0.0667,1.0,bonf,1.179,0.7079
Distractor_level,-,0.36,0.75,True,True,-2.6138,16.0,two-sided,0.0188,0.8462,bonf,3.203,-0.9768
Distractor_level,-,0.36,1.5,True,True,2.0358,16.0,two-sided,0.0587,1.0,bonf,1.301,0.6021
Distractor_level,-,0.36,3.0,True,True,-1.6172,16.0,two-sided,0.1254,1.0,bonf,0.738,-0.4964
Distractor_level,-,0.36,6.0,True,True,2.4406,16.0,two-sided,0.0267,1.0,bonf,2.417,0.8856
Distractor_level,-,0.36,12.0,True,True,3.2698,16.0,two-sided,0.0048,0.2167,bonf,9.89,1.1217
Distractor_level,-,0.36,25.0,True,True,6.8904,16.0,two-sided,0.0,0.0002,bonf,5512.585,2.7167
Distractor_level,-,0.36,50.0,True,True,11.91,16.0,two-sided,0.0,0.0,bonf,4.696e+06,3.6929
Distractor_level,-,0.36,100.0,True,True,8.8905,16.0,two-sided,0.0,0.0,bonf,1.086e+05,2.7932
Distractor_level,-,0.75,1.5,True,True,3.5976,16.0,two-sided,0.0024,0.1085,bonf,17.768,1.2423
Distractor_level,-,0.75,3.0,True,True,2.1989,16.0,two-sided,0.0429,1.0,bonf,1.657,0.542
Distractor_level,-,0.75,6.0,True,True,4.0997,16.0,two-sided,0.0008,0.0377,bonf,44.102,1.4285
Distractor_level,-,0.75,12.0,True,True,4.7714,16.0,two-sided,0.0002,0.0094,bonf,148.59,1.5877
Distractor_level,-,0.75,25.0,True,True,10.7232,16.0,two-sided,0.0,0.0,bonf,1.173e+06,2.6696
Distractor_level,-,0.75,50.0,True,True,8.6689,16.0,two-sided,0.0,0.0,bonf,7.97e+04,3.2286
Distractor_level,-,0.75,100.0,True,True,8.3673,16.0,two-sided,0.0,0.0,bonf,5.188e+04,2.7959
Distractor_level,-,1.5,3.0,True,True,-2.9215,16.0,two-sided,0.01,0.4493,bonf,5.382,-0.882
Distractor_level,-,1.5,6.0,True,True,0.6486,16.0,two-sided,0.5258,1.0,bonf,0.3,0.2515
Distractor_level,-,1.5,12.0,True,True,1.5682,16.0,two-sided,0.1364,1.0,bonf,0.694,0.5489
Distractor_level,-,1.5,25.0,True,True,4.7163,16.0,two-sided,0.0002,0.0105,bonf,134.577,1.7166
Distractor_level,-,1.5,50.0,True,True,6.9076,16.0,two-sided,0.0,0.0002,bonf,5666.382,2.3602
Distractor_level,-,1.5,100.0,True,True,6.3249,16.0,two-sided,0.0,0.0005,bonf,2194.356,1.9079
Distractor_level,-,3.0,6.0,True,True,2.7105,16.0,two-sided,0.0154,0.6946,bonf,3.762,1.1138
Distractor_level,-,3.0,12.0,True,True,4.173,16.0,two-sided,0.0007,0.0323,bonf,50.379,1.3106
Distractor_level,-,3.0,25.0,True,True,8.3212,16.0,two-sided,0.0,0.0,bonf,4.854e+04,2.6368
Distractor_level,-,3.0,50.0,True,True,11.0148,16.0,two-sided,0.0,0.0,bonf,1.667e+06,3.3737
Distractor_level,-,3.0,100.0,True,True,8.9922,16.0,two-sided,0.0,0.0,bonf,1.25e+05,2.751
Distractor_level,-,6.0,12.0,True,True,1.149,16.0,two-sided,0.2674,1.0,bonf,0.44,0.3199
Distractor_level,-,6.0,25.0,True,True,5.2523,16.0,two-sided,0.0001,0.0036,bonf,349.553,1.4211
Distractor_level,-,6.0,50.0,True,True,5.0851,16.0,two-sided,0.0001,0.005,bonf,260.093,2.0226
Distractor_level,-,6.0,100.0,True,True,4.2184,16.0,two-sided,0.0007,0.0294,bonf,54.707,1.6337
Distractor_level,-,12.0,25.0,True,True,3.2364,16.0,two-sided,0.0052,0.2325,bonf,9.321,0.9368
Distractor_level,-,12.0,50.0,True,True,5.8015,16.0,two-sided,0.0,0.0012,bonf,907.891,1.4307
Distractor_level,-,12.0,100.0,True,True,3.171,16.0,two-sided,0.0059,0.2668,bonf,8.307,1.1681
Distractor_level,-,25.0,50.0,True,True,1.5569,16.0,two-sided,0.139,1.0,bonf,0.685,0.5198
Distractor_level,-,25.0,100.0,True,True,0.7524,16.0,two-sided,0.4627,1.0,bonf,0.319,0.323
Distractor_level,-,50.0,100.0,True,True,-0.3797,16.0,two-sided,0.7092,1.0,bonf,0.266,-0.1352
phenotype,-,GT,IN,False,True,0.8378,6.0,two-sided,0.4342,1.0,bonf,0.641,0.5151
phenotype,-,GT,ST,False,True,0.1762,8.1791,two-sided,0.8644,1.0,bonf,0.483,0.0644
phenotype,-,IN,ST,False,True,-0.7066,4.0774,two-sided,0.5181,1.0,bonf,0.558,-0.4778
Distractor_level * phenotype,0.16,GT,IN,False,True,-1.0,6.0,two-sided,0.3559,1.0,bonf,0.695,-0.6149
Distractor_level * phenotype,0.16,GT,ST,False,True,-1.7728,3.4249,two-sided,0.1629,1.0,bonf,1.174,-1.3718
Distractor_level * phenotype,0.16,IN,ST,False,True,-0.7338,3.7649,two-sided,0.5061,1.0,bonf,0.565,-0.525
Distractor_level * phenotype,0.36,GT,IN,False,True,0.5222,6.0,two-sided,0.6202,1.0,bonf,0.568,0.3211
Distractor_level * phenotype,0.36,GT,ST,False,True,2.0814,8.0,two-sided,0.071,1.0,bonf,1.586,0.7568
Distractor_level * phenotype,0.36,IN,ST,False,True,0.1829,3.7317,two-sided,0.8644,1.0,bonf,0.483,0.1318
Distractor_level * phenotype,0.75,GT,IN,False,True,0.7207,6.0,two-sided,0.4982,1.0,bonf,0.61,0.4432
Distractor_level * phenotype,0.75,GT,ST,False,True,0.6919,6.5851,two-sided,0.5126,1.0,bonf,0.555,0.3674
Distractor_level * phenotype,0.75,IN,ST,False,True,-0.2917,4.2893,two-sided,0.7841,1.0,bonf,0.491,-0.191
Distractor_level * phenotype,1.5,GT,IN,False,True,0.2255,6.0,two-sided,0.8291,1.0,bonf,0.531,0.1387
Distractor_level * phenotype,1.5,GT,ST,False,True,0.688,7.8927,two-sided,0.5111,1.0,bonf,0.554,0.3405
Distractor_level * phenotype,1.5,IN,ST,False,True,0.6627,10.8497,two-sided,0.5213,1.0,bonf,0.548,0.2667
Distractor_level * phenotype,3.0,GT,IN,False,True,1.5076,6.0,two-sided,0.1824,1.0,bonf,0.948,0.927
Distractor_level * phenotype,3.0,GT,ST,False,True,4.879,5.9047,two-sided,0.0029,0.0868,bonf,47.175,2.7118
Distractor_level * phenotype,3.0,IN,ST,False,True,0.2749,3.2778,two-sided,0.7998,1.0,bonf,0.49,0.2218
Distractor_level * phenotype,6.0,GT,IN,False,True,0.2907,6.0,two-sided,0.7811,1.0,bonf,0.537,0.1787
Distractor_level * phenotype,6.0,GT,ST,False,True,-3.9402,10.5124,two-sided,0.0025,0.0756,bonf,14.379,-1.5515
Distractor_level * phenotype,6.0,IN,ST,False,True,-1.5923,3.6195,two-sided,0.1939,1.0,bonf,1.0,-1.1751
Distractor_level * phenotype,12.0,GT,IN,False,True,-0.5846,6.0,two-sided,0.5801,1.0,bonf,0.579,-0.3595
Distractor_level * phenotype,12.0,GT,ST,False,True,-1.4862,10.9806,two-sided,0.1654,1.0,bonf,0.915,-0.621
Distractor_level * phenotype,12.0,IN,ST,False,True,-0.8398,9.6115,two-sided,0.4214,1.0,bonf,0.594,-0.3842
Distractor_level * phenotype,25.0,GT,IN,False,True,1.5275,6.0,two-sided,0.1775,1.0,bonf,0.961,0.9392
Distractor_level * phenotype,25.0,GT,ST,False,True,-0.8903,11.0,two-sided,0.3924,1.0,bonf,0.61,-0.3683
Distractor_level * phenotype,25.0,IN,ST,False,True,-1.9793,6.9172,two-sided,0.0888,1.0,bonf,1.431,-1.0306
Distractor_level * phenotype,50.0,GT,IN,False,True,-1.0445,6.0,two-sided,0.3365,1.0,bonf,0.712,-0.6422
Distractor_level * phenotype,50.0,GT,ST,False,True,-0.5249,3.4334,two-sided,0.6317,1.0,bonf,0.521,-0.4053
Distractor_level * phenotype,50.0,IN,ST,False,True,0.9441,3.6951,two-sided,0.4027,1.0,bonf,0.628,0.6853
Distractor_level * phenotype,100.0,GT,IN,False,True,1.2603,6.0,two-sided,0.2544,1.0,bonf,0.807,0.7749
Distractor_level * phenotype,100.0,GT,ST,False,True,2.378,10.6835,two-sided,0.0373,1.0,bonf,2.172,0.9453
Distractor_level * phenotype,100.0,IN,ST,False,True,0.8006,8.2106,two-sided,0.4459,1.0,bonf,0.583,0.3902
